"Submit","Провести"
"Abbr","Сокращение"
"Abbreviation","Сокращение"
"Abbreviation already used for another company","Сокращение уже используется для другой компании"
"Abbreviation is mandatory","Сокращение обязательно"
"Abbreviation: {0} must appear only once","Сокращение: {0} должно появляться только один раз"
"About","О нас"
"About Us","О компании"
"About Us Settings","Параметры раздела О компании"
"About Us Team Member","Член команды в разделе О компании"
"About {0} minute remaining","Осталось примерно {0} минута"
"About {0} minutes remaining","Осталось примерно {0} минут"
"About {0} seconds remaining","Осталось примерно {0} секунд"
"Above","Выше"
"Above 120 Days","Более 120 дней"
"Academics User","Пользователь академических учреждений"
"Accept Invitation","Принять приглашение"
"Acceptance Criteria Formula","Формула критериев приемки"
"Acceptance Criteria Value","Значение критериев приемки"
"Accepted","Принято"
"Accepted At","Принято в"
"Accepted Qty","Принятое количество"
"Accepted Qty in Stock UOM","Принятое количество в единице учёта запасов"
"Accepted Quantity","Принятое количество"
"Accepted Warehouse","Принятой склад"
"Access Control","Контроль доступа"
"Access Key","Ключ доступа"
"Access Key ID","ID ключа доступа"
"Access Key Secret","Секрет ключа доступа"
"Access Key is required for Service Provider: {0}","Ключ доступа требуется для поставщика услуг: {0}"
"Access Log","Журнал доступа"
"Access Token","Токен доступа"
"Access Token URL","URL токена доступа"
"Access not allowed from this IP Address","Доступ запрещен с этого IP-адреса"
"According to the BOM {0}, the Item '{1}' is missing in the stock entry.","В соответствии со спецификацией {0} номенклатура '{1}' отсутствует в приходном ордере."
"Account Balance","Остаток на счёте"
"Account Balance (From)","Остаток на счёте (От)"
"Account Balance (To)","Остаток на счёте (До)"
"Account Closing Balance","Закрывающий остаток по счёту"
"Account Currency","Валюта счёта"
"Account Currency (From)","Валюта счёта (От)"
"Account Currency (To)","Валюта счёта (До)"
"Account Deletion Settings","Параметры удаления счёта"
"Account Details","Детали счёта"
"Account Head","Счёт бухгалтерского учёта"
"Account Manager","Менеджер по работе с клиентом"
"Account Missing","Счёт отсутствует"
"Account Name","Наименование счёта"
"Account Not Found","Счёт не найден"
"Account Number","Номер счёта"
"Account Number {0} already used in account {1}","Номер счёта {0} уже использован в счёте {1}"
"Account Opening Balance","Входящий остаток по счёту"
"Account Paid From","Счёт оплачен из"
"Account Paid To","Счёт оплачен на"
"Account Pay Only","Только оплаты по счёту"
"Account Subtype","Подтип счёта"
"Account Type","Тип счёта"
"Account Value","Значение счёта"
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Остаток по счёту уже в кредит, вам не разрешено устанавливать 'Остаток должен быть' как 'Дебет'"
